2021-09-01 07:25:24 INFO  com.revature.LoggingDriver:13  - Application has started!
2021-09-01 07:25:24 ERROR com.revature.LoggingDriver:18  - Something has gone horribly wrong!
2021-09-01 07:25:24 INFO  com.revature.LoggingDriver:21  - Application has successfully completed!
2021-09-01 08:26:57 INFO  revature.util.ConnectionUtil:70  - Database Connection Established
2021-09-01 08:26:57 INFO  revature.util.ConnectionUtil:48  - returned reused connection
2021-09-01 08:26:57 INFO  revature.repositories.UserDao:83  - Successfully inserts User id
2021-09-01 08:26:57 INFO  revature.util.ConnectionUtil:48  - returned reused connection
2021-09-01 08:29:07 INFO  revature.util.ConnectionUtil:70  - Database Connection Established
2021-09-01 08:29:07 INFO  revature.util.ConnectionUtil:48  - returned reused connection
2021-09-01 08:52:16 INFO  revature.util.ConnectionUtil:70  - Database Connection Established
2021-09-01 08:52:16 INFO  revature.util.ConnectionUtil:48  - returned reused connection
2021-09-01 08:52:16 INFO  revature.util.ConnectionUtil:70  - Database Connection Established
2021-09-01 08:52:44 INFO  revature.util.ConnectionUtil:70  - Database Connection Established
2021-09-01 08:52:44 INFO  revature.util.ConnectionUtil:48  - returned reused connection
2021-09-01 08:52:44 INFO  revature.util.ConnectionUtil:70  - Database Connection Established
2021-09-01 08:54:01 INFO  revature.util.ConnectionUtil:70  - Database Connection Established
2021-09-01 08:54:01 INFO  revature.util.ConnectionUtil:48  - returned reused connection
2021-09-01 08:54:01 INFO  revature.util.ConnectionUtil:70  - Database Connection Established
2021-09-02 08:44:47 INFO  revature.services.UserService:21  - Registering new user...
2021-09-02 08:44:48 INFO  revature.util.ConnectionUtil:70  - Database Connection Established
2021-09-02 08:44:48 INFO  revature.repositories.UserDao:83  - Successfully inserts User id
2021-09-02 08:44:48 INFO  revature.services.UserService:44  - Registration of user with id 1 was successful.
2021-09-02 08:46:33 INFO  revature.services.UserService:21  - Registering new user...
2021-09-02 08:46:33 INFO  revature.util.ConnectionUtil:70  - Database Connection Established
2021-09-02 08:46:33 INFO  revature.repositories.UserDao:83  - Successfully inserts User id
2021-09-02 08:46:33 INFO  revature.services.UserService:44  - Registration of user with id 2 was successful.
2021-09-02 08:48:33 INFO  revature.services.UserService:21  - Registering new user...
2021-09-02 08:48:34 INFO  revature.util.ConnectionUtil:70  - Database Connection Established
2021-09-02 08:48:34 INFO  revature.repositories.UserDao:83  - Successfully inserts User id
2021-09-02 08:48:34 INFO  revature.services.UserService:44  - Registration of user with id 3 was successful.
2021-09-02 08:48:51 INFO  revature.util.ConnectionUtil:48  - returned reused connection
2021-09-02 08:52:10 INFO  revature.services.UserService:21  - Registering new user...
2021-09-02 08:52:10 INFO  revature.util.ConnectionUtil:70  - Database Connection Established
2021-09-02 08:52:10 INFO  revature.repositories.UserDao:83  - Successfully inserts User id
2021-09-02 08:52:10 INFO  revature.services.UserService:44  - Registration of user with id 1 was successful.
2021-09-02 08:52:20 INFO  revature.util.ConnectionUtil:48  - returned reused connection
2021-09-02 08:52:26 INFO  revature.util.ConnectionUtil:70  - Database Connection Established
2021-09-02 08:52:26 INFO  revature.util.ConnectionUtil:70  - Database Connection Established
2021-09-02 11:02:34 INFO  revature.services.UserService:21  - Registering new user...
2021-09-02 11:02:57 INFO  revature.services.UserService:21  - Registering new user...
2021-09-02 11:06:54 INFO  revature.services.UserService:21  - Registering new user...
2021-09-02 11:06:54 INFO  revature.services.UserService:44  - Registration of user with id 79 was successful.
2021-09-02 11:06:54 INFO  revature.services.UserService:21  - Registering new user...
2021-09-02 11:26:54 INFO  revature.services.UserService:21  - Registering new user...
2021-09-02 11:26:54 INFO  revature.services.UserService:21  - Registering new user...
2021-09-02 11:26:54 INFO  revature.services.UserService:44  - Registration of user with id 19 was successful.
2021-09-02 11:30:10 INFO  revature.services.UserService:21  - Registering new user...
2021-09-02 11:30:10 INFO  revature.services.UserService:21  - Registering new user...
2021-09-02 11:30:10 INFO  revature.services.UserService:44  - Registration of user with id 91 was successful.
2021-09-02 11:30:38 INFO  revature.services.UserService:21  - Registering new user...
2021-09-02 11:30:38 INFO  revature.services.UserService:21  - Registering new user...
2021-09-02 11:34:58 INFO  revature.services.UserService:21  - Registering new user...
2021-09-02 11:34:58 INFO  revature.services.UserService:21  - Registering new user...
2021-09-02 11:34:58 INFO  revature.services.UserService:44  - Registration of user with id 10 was successful.
2021-09-02 11:40:45 INFO  revature.services.UserService:21  - Registering new user...
2021-09-02 11:40:45 INFO  revature.services.UserService:21  - Registering new user...
2021-09-02 11:40:45 INFO  revature.services.UserService:44  - Registration of user with id 91 was successful.
